epoch,train_loss,train_xent,valid_loss,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.582718,nan,2.008561,1.353678,0.115276,0.344906,0.235344,0.279869,0.241379,0.010000,0.503098,486.744883
2,1.907593,1.359933,1.924123,1.157752,0.093994,0.493170,0.351167,0.372025,0.329474,0.010000,0.472799,450.143711
3,1.853724,1.256345,1.831338,1.002520,0.074835,0.674445,0.592203,0.374945,0.383949,0.010000,0.472775,449.271922
4,1.820621,1.252550,1.838890,1.017237,0.076325,0.664769,0.592487,0.435826,0.444843,0.010000,0.472972,451.743287
5,1.787799,1.207261,1.784399,1.087636,0.086241,0.562038,0.459021,0.447273,0.420441,0.010000,0.472980,451.223266
6,1.755278,1.230954,1.893539,1.118055,0.090421,0.496585,0.361981,0.459076,0.400784,0.010000,0.472959,446.070315
7,1.733150,1.214268,1.751744,0.993147,0.069118,0.725669,0.697496,0.393514,0.424959,0.010000,0.472907,450.904382
8,1.703172,1.104308,1.735963,0.936415,0.069602,0.682413,0.612692,0.511935,0.505678,0.010000,0.473162,449.207806
9,1.678199,1.073137,1.704784,0.959408,0.067304,0.718839,0.684974,0.487981,0.498092,0.010000,0.472686,441.178153
10,1.657769,1.023692,1.670831,0.906837,0.067396,0.677006,0.598748,0.556124,0.544281,0.010000,0.473035,441.692375
11,1.641037,1.053135,1.659282,0.902282,0.066668,0.676153,0.618668,0.548305,0.544173,0.010000,0.473038,447.116383
12,1.624637,1.033217,1.646942,0.932759,0.070828,0.641150,0.564030,0.586047,0.565441,0.010000,0.472953,446.411695
13,1.607229,0.953103,1.620891,0.870041,0.061752,0.725669,0.682129,0.552815,0.555386,0.010000,0.473145,451.549063
14,1.591306,0.933647,1.614871,0.865956,0.062298,0.706318,0.660785,0.574256,0.572010,0.010000,0.473160,451.652646
